Key,Catagory,Subcatagory
angularjs,framework,web
asm,programming,embedded
compiler,programming,cycle
linq,framework,lambda
join,database,table
erath,programming,algorithm
seg,programming,algorithm
atkins,programming,algorithm
ugly,programming,algorithm
docker,framework,system
firefox,application,desktop
lib,library,library
playbooks,programming,project
segmented,programming,algorithm
aspnet,framework,web
mvc,programming,pattern
mysql,database,relational
entity,programming,database
trigger,database,function
sqlserver,database,relational
automation,programming,batch
automate,programming,batch
git,application,web
mockito,framework,test
findbugs,framework,Code-quality
pmd,framework,Code-quality
hibernate,framework,database
view,database,table
case,database,function
count,database,function
minio,application,docker
django,framework,web
flask,framework,web
sqlite,database,file
swarm,application,docker
pascal,programming,algorithm
functional,programming,pattern
triangle,programming,algorithm
quad,programming,algorithm
tree,programming,algorithm
atkin,programming,algorithm
eratosthenes,programming,algorithm
odbc,framework,database
odb,framework,database
api,programming,algorithm
webscrape,programming,web
orm,framework,database
crypto,programming,algorithm
aes,framework,encryption
encrypt,programming,algorithm
argon2,framework,hashing
encoded,programming,algorithm
bcrypt,framework,hashing
scrypt,framework,hashing
des,framework,encryption
pbkdf2,framework,encryption
salsa20,framework,encryption
triple,framework,encryption
allure,framework,Test-report
grails,framework,web
derby,database,memory
aggregate,database,function
function,database,function
index,database,function
normal,database,pattern
subquery,database,table
postgres,database,relational
liquibase,database,migration
mongo,database,No-sql
spring,framework,Cli-web
jsp,framework,web
quarkus,framework,web
qute,framework,desktop
dropwizard,framework,api
thyme,framework,web
templ,programming,design
generics,programming,design
mongodb,database,No-sql
thread,programming,pattern
json,framework,web
kivy,framework,desktop
play,framework,Async-web
intellij,application,desktop
template,programming,design
nginx,application,web
ssl,programming,algorithm
vue,framework,web
laravel,framework,web
pattern,programming,design
match,programming,pattern
phoenix,framework,Async-web
graphql,framework,database
grafana,application,logging
prometheus,application,logging
datasource,database,database
cockroachdb,database,relational
node,database,database
concat,database,function
cte,database,table
array,database,Data-type
hstore,database,Data-type
uuid,database,Data-type
pivot,database,table
recurcive,database,pattern
encrypted,programming,algorithm
password,programming,algorithm
salt,programming,algorithm
hashing,programming,algorithm
gzip,programming,algorithm
compress,programming,algorithm
rsa,programming,algorithm
crud,database,pattern
select,database,function
insert,database,function
update,database,function
com,database,table
tbl,database,table
exp,database,table
rec,database,pattern
enum,database,Data-type
cucumber,framework,Test-bdd
junit,framework,test
testng,framework,teat
jacoco,framework,Code-quality
spock,framework,teat
postgresql,database,relational
activemq,framework,messaging
Argon2,programming,algorithm
PBKDF2,programming,algorithm
spark,framework,Cli-web
jaeger,framework,logging
micrometer,framework,api
sleuth,framework,logging
zipkin,framework,logging
zuul,framework,logging
splunk,application,logging
actuator,framework,api
jsf,framework,web
challenge,programming,algorithm
3des,programming,algorithm
remember,programming,algorithm
insecure,programming,algorithm
register,programming,algorithm
reset,programming,algorithm
redis,database,Key-value
selenium,framework,test
swagger,framework,logging
jwt,framework,encryption
sso,framework,encryption
websocket,framework,messaging
thymeleaf,framework,web
h2,database,relational
db2,database,relational
hsqldb,database,relational
sybase,database,relational
orientdb,database,No-sql-graph
cassandra,database,No-sql
fibonacci,programming,algorithm
couchdb,database,No-sql
jbehave,framework,Test-bdd
junit5,framework,teat
serenity,framework,Test-report
hadoop,framework,filesystem
hive,framework,database
dagger2,framework,api
drool,framework,Decision-engine
failsafe,framework,teat
jooq,framework,database
flyway,framework,database
liquibasjoin,framework,database
surefire,framework,test
juni,framework,test
swt,framework,desktop
slueth,application,logging
hsql,database,algorithm
zookeeper,application,docker
solr,database,No-sql
neo4j,database,No-sql
elasticsearch,database,No-sql
radis,database,Key-value
rememberMe,programming,algorithm
AES,programming,algorithm
BCrypt,programming,algorithm
DES,programming,algorithm
vaadin,framework,web
capatcha,programming,algorithm
noise,programming,algorithm
javafx,framework,web
datatable,framework,web
gihub,application,web
jquery,framework,web
canvas,framework,graph
class,programming,design
trip,programming,algorithm
design,programming,algorithm
patterns,programming,design
factorial,programming,algorithm
luarocks,framework,web
adminer,application,docker
rabbitmq,framework,messaging
cluster,database,design
express,framework,web
morgan,framework,logging
pino,framework,logging
winston,framework,logging
del,database,function
key,database,Data-type
hash,database,Data-type
list,database,Data-type
set,database,Data-type
expressjs,framework,web
fastify,framework,web
koa,framework,web
helmet,programming,algorithm
handlebars,framework,web
histogram,programming,algorithm
namespace,programming,design
hapi,framework,api
ejs,framework,web
cgi,framework,web
fisheye,programming,algorithm
distorion,programming,algorithm
symfony,framework,database
wordpress,application,web
bolt,framework,batch
bz2,programming,algorithm
lz4,programming,algorithm
zlib,programming,algorithm
doctest,framework,test
nose2,programming,algorithm
pylogging,framework,logging
pytest,framework,test
testify,framework,table
eratostheras,programming,algorithm
behave,framework,teat
lettuce,framework,Test-bdd
pandas,framework,graph
unique,database,function
pydoc,framework,document
opengl,programming,algorithm
qt,framework,desktop
bottle,framework,web
d3,framework,graph
cherrypy,framework,web
dash,framework,web
falcon,framework,api
fastapi,framework,api
matplotlib,framework,graph
pyplot,framework,graph
bar,programming,algorithm
pie,programming,algorithm
pyramid,framework,web
tornado,framework,web
reactjs,framework,web
rails,framework,web
rocket,framework,web
lazylogging,framework,logging
scalatest,framework,test
remeber,programming,algorithm
aed,programming,algorithm
scalajs,framework,web
patter,programming,design
wine,application,docker
