Name,Color,Type
unclass,pink,1
xcode,orange,1
cargo,khaki,1
ant,cadetblue,1
android,aqua,1
bazel,aqua,1
buildr,cadetblue,1
buck,cadetblue,1
gradle,cadetblue,1
maven,cadetblue,1
mill,cadetblue,1
pants,aqua,1
spa,aqua,1
sbt,cadetblue,1
bloop,cadetblue,1
unclass,pink,2
nim,khaki,2
zig,khaki,2
swift,orange,2
lua,khaki,2
java,cadetblue,2
ada,cadetblue,2
jruby,cadetblue,2
jython,cadetblue,2
kotlin,cadetblue,2
groovy,cadetblue,2
scala,cadetblue,2
rust,khaki,2
dart,sienna,2
c,khaki,2
fortran,khaki,2
delphi,khaki,2
cpp,khaki,2
csharp,burlywood,2
perl,khaki,2
smalltalk,cadetblue,2
python,cadetblue,2
pyscript,cadetblue,2
php,khaki,2
nodejs,sienna,2
javascript,sienna,2
flutter,sienna,2
clojure,cadetblue,2
ruby,khaki,2
crystal,khaki,2
vbnet,burlywood,2
erlang,orange,2
elixir,orange,2
haskell,orange,2
golang,cadetblue,2
julia,darkgrey,2
dlang,khaki,2
unclass,pink,3
web,cadetblue,3
desktop,orange,3
cli,sienna,3
unclass,pink,4
ansible,purple,4
saltstack,purple,4
chef,purple,4
powershell,purple,4
bash,purple,4
